Z,Symbol,NUnpaired,MaxL,s,p,d,f,E_HF,E_DFT
1,H,1,0,1,0,0,0,-0.5,-0.445671
2,He,0,0,0,0,0,0,-2.86167999561,-2.834836
3,Li,1,0,1,0,0,0,-7.43272693073,-7.335195
4,Be,0,0,2,0,0,0,-14.5730231683,-14.447209
5,B,1,1,2,1,0,0,-24.5290607285,-24.344198
6,C,2,1,2,2,0,0,-37.688618963,-37.425749
7,N,3,1,2,3,0,0,-54.4009342085,-54.025016
8,O,2,1,2,4,0,0,-74.80939847,-74.473077
9,F,1,1,2,5,0,0,-99.4093493867,-99.099648
10,Ne,0,1,0,0,0,0,-128.547098109,-128.233481
11,Na,1,1,1,0,0,0,-161.858911617,-161.44006
12,Mg,0,1,2,0,0,0,-199.614636425,-199.139406
13,Al,1,1,2,1,0,0,-241.876707251,-241.315573
14,Si,2,1,2,2,0,0,-288.854362517,-288.198397
15,P,3,1,2,3,0,0,-340.718780975,-339.946219
16,S,2,1,2,4,0,0,-397.504895917,-396.716081
17,Cl,1,1,2,5,0,0,-459.482072393,-458.664179
18,Ar,0,1,0,0,0,0,-526.817512803,-525.946195
19,K,1,1,1,0,0,0,-599.164786767,-598.20059
20,Ca,0,1,2,0,0,0,-676.758185925,-675.742283
21,Sc,1,2,2,0,1,0,-759.735718041,-758.679275
22,Ti,2,2,2,0,2,0,-848.405996991,-847.277216
23,V,3,2,2,0,3,0,-942.884337738,-941.678904
24,Cr,6,2,1,0,5,0,-1043.35637629,-1042.030238
25,Mn,5,2,2,0,5,0,-1149.86625171,-1148.449372
26,Fe,4,2,2,0,6,0,-1262.4436654,-1261.093056
27,Co,3,2,2,0,7,0,-1381.41455298,-1380.091264
28,Ni,2,2,2,0,8,0,-1506.87090819,-1505.580197
29,Cu,1,2,1,0,10,0,-1638.96374218,-1637.785861
30,Zn,0,2,2,0,10,0,-1777.84811619,-1776.57385
31,Ga,1,2,2,1,10,0,-1923.26100961,-1921.846456
32,Ge,2,2,2,2,10,0,-2075.35973391,-2073.807332
33,As,3,2,2,3,10,0,-2234.23865428,-2232.534978
34,Se,2,2,2,4,10,0,-2399.8676117,-2398.11144
35,Br,1,2,2,5,10,0,-2572.44133316,-2570.6207
36,Kr,0,2,0,0,0,0,-2752.05497735,-2750.14794
37,Rb,1,2,1,0,0,0,-2938.35745426,-2936.337293
38,Sr,0,2,2,0,0,0,-3131.54568644,-3129.453161
39,Y,1,2,2,0,1,0,-3331.68416985,-3329.520604
40,Zr,2,2,2,0,2,0,-3538.99506487,-3536.737751
41,Nb,5,2,1,0,4,0,-3753.59772775,-3751.196175
42,Mo,6,2,1,0,5,0,-3975.54949953,-3973.013235
43,Tc,5,2,2,0,5,0,-4204.78873702,-4202.188857
44,Ru,4,2,1,0,7,0,-4441.53948783,-4438.981228
