Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.43      0.22     0.22  1811851     0.00     0.00  GaussianRF::Integrate4C(GaussianRF const*, GaussianRF const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, GaussianRF const*, GaussianRF const*)
 21.43      0.37     0.15 17162714     0.00     0.00  Hermite2::operator()(Polarization const&, Polarization const&, Polarization const&) const
 14.29      0.47     0.10  3630049     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, GaussianCD const*>, std::_Select1st<std::pair<std::pair<int, int> const, GaussianCD const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, GaussianCD const*> > >::find(std::pair<int, int> const&)
 14.29      0.57     0.10  1948927     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, RNLM const*>, std::_Select1st<std::pair<std::pair<int, int> const, RNLM const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, RNLM const*> > >::find(std::pair<int, int> const&)
  4.29      0.60     0.03        9     3.33     3.33  TBasisSetImplementation<double>::GetExchange(SMatrix<double> const&, TBasisSet<double> const*) const
  2.86      0.62     0.02   137076     0.00     0.00  std::map<std::pair<int, int>, RNLM const*, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, RNLM const*> > >::operator[](std::pair<int, int> const&)
  1.43      0.63     0.01  3629396     0.00     0.00  CDcache::find(GaussianRF const*, GaussianRF const*)
  1.43      0.64     0.01  1811851     0.00     0.00  CDcache::find(GaussianCD const&, GaussianCD const&)
  1.43      0.65     0.01    17470     0.00     0.00  SMatrix<double>::Read(std::istream&)
  1.43      0.66     0.01       23     0.43     0.43  virtual thunk to GaussianRF::Write(std::ostream&) const
  1.43      0.67     0.01        1    10.00    10.00  ERIList1::SetSize(int, double)
  1.43      0.68     0.01        1    10.00   629.32  PolarizedGaussianIE1::Make4C(std::vector<IntegralEngine1<double> const*, std::allocator<IntegralEngine1<double> const*> > const&) const
  1.43      0.69     0.01                             MatrixMMOp<double, Ref<double, Indexable<double, MatrixSSOp<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >::operator()(long, long) const
  1.43      0.70     0.01                             _init
  0.00      0.70     0.00  1862964     0.00     0.00  GaussianRF::Integrate(RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, RadialFunction const*, RadialFunction const*) const
  0.00      0.70     0.00   701383     0.00     0.00  uintpow(double, unsigned int)
  0.00      0.70     0.00   277150     0.00     0.00  intpow(double, int)
  0.00      0.70     0.00   234242     0.00     0.00  ContractedGaussianRF::Integrate(RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, RadialFunction const*, RadialFunction const*) const
  0.00      0.70     0.00   168858     0.00     0.00  Hermite2::GetAny(Vector<double> const&, int, int, int) const
