Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.50      0.33     0.33   155462     0.00     0.00  GaussianRF::GetRepulsion4CInternal(BasisFunctionBlockQuartet&, ERIList&, double) const
 19.32      0.50     0.17 17162714     0.00     0.00  Hermite2::operator()(Polarization const&, Polarization const&, Polarization const&) const
  7.95      0.57     0.07 26598636     0.00     0.00  Hermite2::GetAny(Vector<double> const&, int, int, int) const
  7.95      0.64     0.07   312627     0.00     0.00  Hermite2::Hermite2(double, Vector3D<double> const&, Vector3D<double> const&, int, int)
  5.68      0.69     0.05   313179     0.00     0.00  UniqueID::~UniqueID()
  3.41      0.72     0.03    51557     0.00     0.00  ContractedGaussianRF::GetRepulsion4C(BasisFunctionBlockQuartet&, ERIList&, double)
  3.41      0.75     0.03                             _init
  2.27      0.77     0.02   312627     0.00     0.00  GaussianCD::~GaussianCD()
  2.27      0.79     0.02   204733     0.00     0.00  GaussianRF::GetRepulsion4C(BasisFunctionBlockQuartet&, ERIList&, double)
  1.14      0.80     0.01   478211     0.00     0.00  PMStreamableObject::~PMStreamableObject()
  1.14      0.81     0.01   312627     0.00     0.00  GaussianCD::GaussianCD(GaussianRF const&, GaussianRF const&)
  1.14      0.82     0.01   159258     0.00     0.00  RNLM::RNLM(int, double, Vector3D<double> const&)
  1.14      0.83     0.01   159258     0.00     0.00  AuxillaryFJ::GetFjAt(double, Vector<double>&) const
  1.14      0.84     0.01    17477     0.00     0.00  SMatrix<double>::Read(std::istream&)
  1.14      0.85     0.01    11116     0.00     0.00  SMatrix<double>::SMatrix()
  1.14      0.86     0.01     7664     0.00     0.00  MatrixList<double>::Add(SMatrix<double> const&)
  1.14      0.87     0.01      431     0.02     0.03  HeapDB<double>::Write(std::ostream&) const
  1.14      0.88     0.01                             MatrixMMOp<double, Ref<double, Indexable<double, MatrixSSOp<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >::operator()(long, long) const
  0.00      0.88     0.00  1185148     0.00     0.00  intpow(double, int)
  0.00      0.88     0.00   821813     0.00     0.00  uintpow(double, unsigned int)
  0.00      0.88     0.00   313130     0.00     0.00  UniqueID::UniqueID()
  0.00      0.88     0.00   161173     0.00     0.00  Triangle::Triangle()
  0.00      0.88     0.00   159275     0.00     0.00  Triangle::operator=(Triangle const&)
  0.00      0.88     0.00    59805     0.00     0.00  StreamableObject::SetOutputMode(StreamableObject::Mode)
  0.00      0.88     0.00    38414     0.00     0.00  VecLimits::Write(std::ostream&) const
  0.00      0.88     0.00    38394     0.00     0.00  VecLimits::Read(std::istream&)
  0.00      0.88     0.00    27734     0.00     0.00  SMatrix<double>::SetLimits(MatLimits const&, bool)
  0.00      0.88     0.00    23872     0.00     0.00  SMatrix<double>::operator=(SMatrix<double> const&)
  0.00      0.88     0.00    23849     0.00     0.00  SMatrix<double>::SMatrix(MatLimits const&)
  0.00      0.88     0.00    22208     0.00     0.00  ReadName[abi:cxx11](std::istream&)
  0.00      0.88     0.00    22208     0.00     0.00  StreamableObject::CheckName(std::istream&, char const*)
  0.00      0.88     0.00    21794     0.00     0.00  StreamableObject::WriteHeader(std::ostream&, char const*) const
  0.00      0.88     0.00    21778     0.00     0.00  StreamableObject::ReadHeader(std::istream&, char const*)
  0.00      0.88     0.00    18345     0.00     0.00  MatLimits::Write(std::ostream&) const
  0.00      0.88     0.00    18337     0.00     0.00  MatLimits::Read(std::istream&)
  0.00      0.88     0.00    17483     0.00     0.00  SMatrix<double>::Write(std::ostream&) const
  0.00      0.88     0.00    16384     0.00     0.00  ACG::asLong()
  0.00      0.88     0.00    16246     0.00     0.00  DirectMultiply<double, double, SMatrix<double>, SMatrix<double>, (Store)1, (Store)1, (Data)0, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00     8350     0.00     0.00  operator*<double, SymMatrixOuterProduct<double, Ref<double, Indexable<double, Vector<double>, (Store)0, (Data)0, (Shape)1>, (Shape)1> >, (Store)1, (Data)1, (Shape)2>(Indexable<double, SymMatrixOuterProduct<double, Ref<double, Indexable<double, Vector<double>, (Store)0, (Data)0, (Shape)1>, (Shape)1> >, (Store)1, (Data)1, (Shape)2> const&, double const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00     7665     0.00     0.00  MatrixList<double>::LoadMatrix(long) const
  0.00      0.88     0.00     7208     0.00     0.00  operator-<double, double, Matrix<double>, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Store)0, (Data)0, (Data)1, (Shape)2>(Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00     7200     0.00     0.00  fabs<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, (Shape)2>, (Store)0, (Data)1, (Shape)2>, (Store)0, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, (Shape)2>, (Store)0, (Data)1, (Shape)2>, (Store)0, (Data)1, (Shape)2> const&)::{lambda(double const&)#1}::_FUN(double const&)
  0.00      0.88     0.00     6203     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, GaussianCD const*>, std::_Select1st<std::pair<std::pair<int, int> const, GaussianCD const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, GaussianCD const*> > >::find(std::pair<int, int> const&)
  0.00      0.88     0.00     5908     0.00     0.00  operator*<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, double const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00     5862     0.00     0.00  GaussianRF::Integrate(RadialFunction::Types2C, RadialFunction const*, Polarization const&, Polarization const&, CDcache&, Cluster const*) const
  0.00      0.88     0.00     5694     0.00     0.00  CDcache::find(GaussianRF const*, GaussianRF const*)
  0.00      0.88     0.00     3928     0.00     0.00  GaussianRF::GetKinetic(Polarization const&, Polarization const&, GaussianCD const&) const
  0.00      0.88     0.00     3796     0.00     0.00  RNLM::Add(RNLM const&, double)
  0.00      0.88     0.00     3796     0.00     0.00  Triangle::Add(Triangle const&, double)
  0.00      0.88     0.00     3262     0.00     0.00  operator-<double, double, SMatrix<double>, SMatrix<double>, (Store)1, (Store)1, (Data)0, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00     3255     0.00     0.00  fabs<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)::{lambda(double const&)#1}::_FUN(double const&)
  0.00      0.88     0.00     2583     0.00     0.00  MatrixList<double>::Empty()
  0.00      0.88     0.00     1899     0.00     0.00  Molecule::end() const
  0.00      0.88     0.00     1899     0.00     0.00  Molecule::begin() const
  0.00      0.88     0.00     1899     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00      0.88     0.00     1898     0.00     0.00  RNLM::RNLM()
  0.00      0.88     0.00     1738     0.00     0.00  Vector<double>::SetLimits(VecLimits const&, bool)
  0.00      0.88     0.00     1738     0.00     0.00  VecLimits::Check() const
  0.00      0.88     0.00     1725     0.00     0.00  operator<<(std::ostream&, PMStreamableObject const&)
  0.00      0.88     0.00     1724     0.00     0.00  std::ostream& Write<double, Vector<double>, (Store)0, (Shape)1>(std::ostream&, ArrayIndexable<double, Vector<double>, (Store)0, (Shape)1> const&)
  0.00      0.88     0.00     1724     0.00     0.00  Vector<double>::Write(std::ostream&) const
  0.00      0.88     0.00     1721     0.00     0.01  operator>>(std::istream&, PMStreamableObject&)
  0.00      0.88     0.00     1720     0.00     0.00  Vector<double>::Read(std::istream&)
  0.00      0.88     0.00     1688     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.88     0.00     1432     0.00     0.00  GaussianRF::Get2CenterIntegrals(RadialFunction::Types2C, BasisFunctionBlockPair&, SMatrix<double>&, Cluster const*, double) const
  0.00      0.88     0.00     1293     0.00     0.00  MatrixList<double>::MatrixList()
  0.00      0.88     0.00     1293     0.00     0.00  MatrixList<double>::~MatrixList()
  0.00      0.88     0.00     1293     0.00     0.00  MatrixList<double>::~MatrixList()
  0.00      0.88     0.00     1293     0.00     0.00  MatrixList<double>::Write(std::ostream&) const
  0.00      0.88     0.00     1290     0.00     0.02  MatrixList<double>::Read(std::istream&)
  0.00      0.88     0.00     1270     0.00     0.00  operator+<double, double, Matrix<double>, Matrix<double>, (Store)0, (Store)0, (Data)0, (Data)0, (Shape)2>(Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00      985     0.00     0.00  operator+<double, double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Store)1, (Data)1, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&, Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.88     0.00      927     0.00     0.00  virtual thunk to OrbitalImplementation::GetEigenEnergy() const
  0.00      0.88     0.00      870     0.00     0.00  Matrix<double>::SetLimits(MatLimits const&, bool)
  0.00      0.88     0.00      865     0.00     0.00  Matrix<double>::Matrix()
  0.00      0.88     0.00      862     0.00     0.00  ERIList::ERIList()
  0.00      0.88     0.00      862     0.00     0.00  ERIList::~ERIList()
  0.00      0.88     0.00      862     0.00     0.00  ERIList1::ERIList1()
  0.00      0.88     0.00      862     0.00     0.00  ERIList1::~ERIList1()
  0.00      0.88     0.00      862     0.00     0.00  Matrix<double>::Write(std::ostream&) const
  0.00      0.88     0.00      860     0.00     0.00  Matrix<double>::Read(std::istream&)
  0.00      0.88     0.00      765     0.00     0.00  ContractedGaussianRF::Integrate(RadialFunction::Types2C, RadialFunction const*, Polarization const&, Polarization const&, CDcache&, Cluster const*) const
  0.00      0.88     0.00      685     0.00     0.00  GaussianRF::GetOverlap2CInternal(BasisFunctionBlockPair&, SMatrix<double>&, double) const
  0.00      0.88     0.00      509     0.00     0.00  GaussianCD::~GaussianCD()
