Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.03      0.18     0.18 17162714     0.00     0.00  Hermite2::operator()(Polarization const&, Polarization const&, Polarization const&) const
 19.35      0.30     0.12  1811851     0.00     0.00  GaussianRF::Integrate4C(GaussianRF const*, GaussianRF const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, GaussianRF const*, GaussianRF const*)
 16.13      0.40     0.10  3630049     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, GaussianCD const*>, std::_Select1st<std::pair<std::pair<int, int> const, GaussianCD const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, GaussianCD const*> > >::find(std::pair<int, int> const&)
 14.52      0.49     0.09  1948927     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, RNLM const*>, std::_Select1st<std::pair<std::pair<int, int> const, RNLM const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, RNLM const*> > >::find(std::pair<int, int> const&)
  8.06      0.54     0.05        9     5.56     5.56  TBasisSetImplementation<double>::GetExchange(SMatrix<double> const&, TBasisSet<double> const*) const
  6.45      0.58     0.04   140872     0.00     0.00  RNLM::RNLM(int, double, Vector3D<double> const&)
  1.61      0.59     0.01   234242     0.00     0.00  ContractedGaussianRF::Integrate(RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, RadialFunction const*, RadialFunction const*) const
  1.61      0.60     0.01    53608     0.00     0.00  GaussianRF::Integrate(RadialFunction const*, RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, RadialFunction const*) const
  1.61      0.61     0.01    12982     0.00     0.00  SMatrix<double>::Write(std::ostream&) const
  1.61      0.62     0.01                             _init
  0.00      0.62     0.00  3629396     0.00     0.00  CDcache::find(GaussianRF const*, GaussianRF const*)
  0.00      0.62     0.00  1862964     0.00     0.00  GaussianRF::Integrate(RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, RadialFunction const*, RadialFunction const*) const
  0.00      0.62     0.00  1811851     0.00     0.00  CDcache::find(GaussianCD const&, GaussianCD const&)
  0.00      0.62     0.00   701383     0.00     0.00  uintpow(double, unsigned int)
  0.00      0.62     0.00   273336     0.00     0.00  intpow(double, int)
  0.00      0.62     0.00   168858     0.00     0.00  Hermite2::GetAny(Vector<double> const&, int, int, int) const
  0.00      0.62     0.00   142787     0.00     0.00  Triangle::Triangle()
  0.00      0.62     0.00   140889     0.00     0.00  Triangle::operator=(Triangle const&)
  0.00      0.62     0.00   140872     0.00     0.00  AuxillaryFJ::GetFjAt(double, Vector<double>&) const
  0.00      0.62     0.00   137076     0.00     0.00  std::map<std::pair<int, int>, RNLM const*, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, RNLM const*> > >::operator[](std::pair<int, int> const&)
  0.00      0.62     0.00   137076     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, RNLM const*>, std::_Select1st<std::pair<std::pair<int, int> const, RNLM const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, RNLM const*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::pair<int, int> const, RNLM const*> >, std::pair<int, int> const&)
  0.00      0.62     0.00    86318     0.00     0.00  GaussianRF::Integrate(RadialFunction const*, RadialFunction const*, RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&) const
  0.00      0.62     0.00    60471     0.00     0.01  ContractedGaussianRF::Integrate(RadialFunction const*, RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&, RadialFunction const*) const
  0.00      0.62     0.00    43973     0.00     0.00  StreamableObject::SetOutputMode(StreamableObject::Mode)
  0.00      0.62     0.00    28316     0.00     0.00  VecLimits::Write(std::ostream&) const
  0.00      0.62     0.00    28296     0.00     0.00  VecLimits::Read(std::istream&)
  0.00      0.62     0.00    22027     0.00     0.01  ContractedGaussianRF::Integrate(RadialFunction const*, RadialFunction const*, RadialFunction const*, Polarization const&, Polarization const&, Polarization const&, Polarization const&, CDcache&) const
  0.00      0.62     0.00    20503     0.00     0.00  SMatrix<double>::SetLimits(MatLimits const&, bool)
  0.00      0.62     0.00    17875     0.00     0.00  SMatrix<double>::operator=(SMatrix<double> const&)
  0.00      0.62     0.00    17852     0.00     0.00  SMatrix<double>::SMatrix(MatLimits const&)
  0.00      0.62     0.00    16384     0.00     0.00  ACG::asLong()
  0.00      0.62     0.00    16200     0.00     0.00  ReadName[abi:cxx11](std::istream&)
  0.00      0.62     0.00    16200     0.00     0.00  StreamableObject::CheckName(std::istream&, char const*)
  0.00      0.62     0.00    16059     0.00     0.00  DirectMultiply<double, double, SMatrix<double>, SMatrix<double>, (Store)1, (Store)1, (Data)0, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.62     0.00    15923     0.00     0.00  StreamableObject::WriteHeader(std::ostream&, char const*) const
