Z,Conf,TE_rel,TE_nonrel,1s+,1s,2s+,2s,2p-,2p+,2p,3s+,3s,3p-,3p+,3p,3d-,3d+,3d,4s+,4s,4p-,4p+,4p,4d-,4d+,4d,4f-,4f+,4f,5s+,5s,5p-,5p+,5p,5d-,5d+,5d,5f-,5f+,5f,6s+,6s,6p-,6p+,6p,6d-,6d+,6d,7s+,7s
1 ,1s(1),-0.49995 ,-0.49995 ,-0.49995 ,-0.49995 ,,             ,,,             ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
2 ,1s(2) ,-2.86129 ,-2.86115 ,-0.91766 ,-0.91762 ,,             ,,,             ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
3 ,[He]2s(1),-7.43350 ,-7.43270 ,-2.47795 ,-2.47771 ,-0.19634 ,-0.19632 ,,,             ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
4 ,[He]2s(2),-14.57583 ,-14.57297 ,-4.73346 ,-4.73263 ,-0.30931 ,-0.30926 ,,,             ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
5 ,[He]2s(2)2p(1),-24.53646 ,-24.52897 ,-7.69759 ,-7.69528 ,-0.49490 ,-0.49468 ,-0.30979 ,-0.30970 ,-0.30983 ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
6 ,[He]2s(2)2p(2),-37.67588 ,-37.68847 ,-11.34351 ,-11.32544 ,-0.71256 ,-0.70559 ,-0.40689 ,-0.40660 ,-0.43330 ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
7 ,[He]2s(2)2p(3),-54.32748 ,-54.40071 ,-15.67629 ,-15.62895 ,-0.96472 ,-0.94527 ,-0.50882 ,-0.50812 ,-0.56753 ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
8 ,[He]2s(2)2p(4),-74.82462 ,-74.80907 ,-20.69838 ,-20.66850 ,-1.25231 ,-1.24422 ,-0.61672 ,-0.61528 ,-0.63182 ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
9 ,[He]2s(2)2p(5),-99.50110 ,-99.40889 ,-26.41151 ,-26.38255 ,-1.57584 ,-1.57240 ,-0.73119 ,-0.72853 ,-0.72989 ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
10 ,[He]2s(2)2p(6),-128.69121 ,-128.54647 ,-32.81715 ,-32.77217 ,-1.93565 ,-1.93021 ,-0.85264 ,-0.84808 ,-0.85023 ,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
11 ,[Ne]3s(1) ,-162.07769 ,-161.85857 ,-40.54481 ,-40.47840 ,-2.80526 ,-2.79693 ,-1.52186 ,-1.51446 ,-1.51802 ,-0.18230 ,-0.18206 ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
12 ,[Ne]3s(2) ,-199.93458 ,-199.61422 ,-49.12651 ,-49.03162 ,-3.78003 ,-3.76762 ,-2.28814 ,-2.27658 ,-2.28209 ,-0.25333 ,-0.25295 ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
13 ,[Ne]3s(2)3p(1),-242.33030 ,-241.87637 ,-58.63341 ,-58.50085 ,-4.92916 ,-4.91054 ,-3.22810 ,-3.21075 ,-3.21816 ,-0.39437 ,-0.39334 ,-0.20991 ,-0.20938 ,-0.20992 ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
14 ,[Ne]3s(2)3p(2),-289.46080 ,-288.85398 ,-68.99989 ,-68.81227 ,-6.18974 ,-6.15640 ,-4.27765 ,-4.25253 ,-4.25590 ,-0.54539 ,-0.53975 ,-0.27900 ,-0.27786 ,-0.29705 ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
15 ,[Ne]3s(2)3p(3),-341.49402 ,-340.71834 ,-80.22991 ,-79.96952 ,-7.56625 ,-7.51094 ,-5.44100 ,-5.40571 ,-5.40079 ,-0.70931 ,-0.69631 ,-0.35133 ,-0.34926 ,-0.39162 ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
16 ,[Ne]3s(2)3p(4),-398.59716 ,-397.50435 ,-92.32609 ,-92.00421 ,-9.06103 ,-9.00409 ,-6.72027 ,-6.67195 ,-6.68229 ,-0.88715 ,-0.87938 ,-0.42786 ,-0.42447 ,-0.43723 ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
17 ,[Ne]3s(2)3p(5),-460.93746 ,-459.48143 ,-105.29075 ,-104.88416 ,-10.67565 ,-10.60726 ,-8.11679 ,-8.05213 ,-8.07198 ,-1.07940 ,-1.07275 ,-0.50906 ,-0.50387 ,-0.50625 ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
18 ,[Ne]3s(2)3p(6),-528.68268 ,-526.81678 ,-119.12618 ,-118.61007 ,-12.41127 ,-12.32192 ,-9.63160 ,-9.54674 ,-9.57120 ,-1.28637 ,-1.27718 ,-0.59517 ,-0.58761 ,-0.59085 ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,,             ,,             ,,,             ,,,             ,,             
